,Age at enrollment,Unemployment rate,Inflation rate,GDP,Enrolled1,Approved1,Enrolled2,Approved2,Tasa_1st,Tasa_2nd
150,18,9.4,-0.8,-3.12,0,0,0,0,0.0,0.0
151,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
152,18,9.4,-0.8,-3.12,6,3,6,5,50.0,83.33333333333334
153,18,7.6,2.6,0.32,6,6,6,5,100.0,83.33333333333334
154,21,9.4,-0.8,-3.12,6,3,6,3,50.0,50.0
155,19,7.6,2.6,0.32,6,6,6,4,100.0,66.66666666666666
156,18,12.4,0.5,1.79,5,5,5,5,100.0,100.0
157,18,12.7,3.7,-1.7,6,6,6,6,100.0,100.0
158,20,9.4,-0.8,-3.12,6,4,6,6,66.66666666666666,100.0
159,24,11.1,0.6,2.02,6,5,6,5,83.33333333333334,83.33333333333334
160,19,10.8,1.4,1.74,6,6,6,6,100.0,100.0
161,18,15.5,2.8,-4.06,7,7,8,7,100.0,87.5
162,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
163,21,10.8,1.4,1.74,6,4,6,3,66.66666666666666,50.0
164,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
165,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
166,47,8.9,1.4,3.51,1,0,6,0,0.0,0.0
167,19,13.9,-0.3,0.79,6,5,6,4,83.33333333333334,66.66666666666666
168,29,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
169,21,16.2,0.3,-0.92,6,3,6,2,50.0,33.33333333333333
170,28,12.7,3.7,-1.7,5,4,5,4,80.0,80.0
171,20,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
172,19,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
173,26,9.4,-0.8,-3.12,6,3,6,5,50.0,83.33333333333334
174,20,11.1,0.6,2.02,6,4,6,6,66.66666666666666,100.0
175,18,7.6,2.6,0.32,5,3,5,4,60.0,80.0
176,27,7.6,2.6,0.32,6,5,6,5,83.33333333333334,83.33333333333334
177,20,7.6,2.6,0.32,7,4,7,4,57.14285714285714,57.14285714285714
178,18,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
179,33,16.2,0.3,-0.92,7,6,8,6,85.71428571428571,75.0
180,35,12.4,0.5,1.79,21,21,19,19,100.0,100.0
181,26,9.4,-0.8,-3.12,6,6,6,6,100.0,100.0
182,27,11.1,0.6,2.02,6,5,6,0,83.33333333333334,0.0
183,19,15.5,2.8,-4.06,6,6,6,0,100.0,0.0
184,20,11.1,0.6,2.02,6,0,6,0,0.0,0.0
185,20,10.8,1.4,1.74,5,3,5,3,60.0,60.0
186,21,9.4,-0.8,-3.12,10,8,6,4,80.0,66.66666666666666
187,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
188,24,8.9,1.4,3.51,6,2,6,0,33.33333333333333,0.0
189,20,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
190,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
191,23,9.4,-0.8,-3.12,6,2,5,1,33.33333333333333,20.0
192,24,7.6,2.6,0.32,5,0,5,0,0.0,0.0
193,21,12.4,0.5,1.79,6,0,6,0,0.0,0.0
194,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
195,27,8.9,1.4,3.51,5,0,5,0,0.0,0.0
196,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
197,35,13.9,-0.3,0.79,5,0,5,0,0.0,0.0
198,18,11.1,0.6,2.02,7,7,7,7,100.0,100.0
199,35,11.1,0.6,2.02,3,3,3,3,100.0,100.0
200,19,10.8,1.4,1.74,5,4,5,4,80.0,80.0
201,20,7.6,2.6,0.32,6,6,6,6,100.0,100.0
202,18,10.8,1.4,1.74,8,7,8,7,87.5,87.5
203,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
204,18,16.2,0.3,-0.92,6,5,6,4,83.33333333333334,66.66666666666666
205,18,7.6,2.6,0.32,6,4,6,4,66.66666666666666,66.66666666666666
206,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
207,18,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
208,19,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
209,36,16.2,0.3,-0.92,6,6,6,5,100.0,83.33333333333334
210,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
211,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
212,20,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
213,26,16.2,0.3,-0.92,5,0,5,0,0.0,0.0
214,21,7.6,2.6,0.32,6,6,6,6,100.0,100.0
215,25,15.5,2.8,-4.06,7,6,8,8,85.71428571428571,100.0
216,19,12.4,0.5,1.79,5,5,5,5,100.0,100.0
217,24,9.4,-0.8,-3.12,6,1,6,0,16.666666666666664,0.0
218,27,8.9,1.4,3.51,6,1,6,0,16.666666666666664,0.0
219,21,7.6,2.6,0.32,5,0,5,2,0.0,40.0
220,18,9.4,-0.8,-3.12,5,4,5,3,80.0,60.0
221,19,10.8,1.4,1.74,6,6,6,6,100.0,100.0
222,18,9.4,-0.8,-3.12,6,4,6,2,66.66666666666666,33.33333333333333
223,19,11.1,0.6,2.02,7,5,8,7,71.42857142857143,87.5
224,19,16.2,0.3,-0.92,7,6,8,7,85.71428571428571,87.5
225,33,11.1,0.6,2.02,6,6,5,5,100.0,100.0
226,45,12.4,0.5,1.79,5,5,5,5,100.0,100.0
227,20,11.1,0.6,2.02,6,6,6,6,100.0,100.0
228,28,7.6,2.6,0.32,5,0,5,0,0.0,0.0
229,19,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
230,18,12.7,3.7,-1.7,6,6,6,3,100.0,50.0
231,38,15.5,2.8,-4.06,6,0,6,0,0.0,0.0
232,19,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
233,21,15.5,2.8,-4.06,6,5,6,5,83.33333333333334,83.33333333333334
234,21,16.2,0.3,-0.92,5,3,5,1,60.0,20.0
235,22,10.8,1.4,1.74,6,5,6,6,83.33333333333334,100.0
236,18,9.4,-0.8,-3.12,6,5,6,6,83.33333333333334,100.0
237,18,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
238,25,9.4,-0.8,-3.12,5,4,5,4,80.0,80.0
239,24,16.2,0.3,-0.92,6,3,6,3,50.0,50.0
240,19,12.4,0.5,1.79,7,6,7,7,85.71428571428571,100.0
241,24,12.4,0.5,1.79,17,11,13,9,64.70588235294117,69.23076923076923
242,20,12.4,0.5,1.79,5,5,5,5,100.0,100.0
243,25,10.8,1.4,1.74,5,0,5,0,0.0,0.0
244,20,8.9,1.4,3.51,10,9,10,10,90.0,100.0
245,23,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
246,19,10.8,1.4,1.74,8,7,8,7,87.5,87.5
247,29,13.9,-0.3,0.79,6,3,6,3,50.0,50.0
248,21,11.1,0.6,2.02,6,6,6,4,100.0,66.66666666666666
249,18,11.1,0.6,2.02,6,6,6,5,100.0,83.33333333333334
250,19,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
251,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
252,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
253,18,9.4,-0.8,-3.12,6,1,6,0,16.666666666666664,0.0
254,18,8.9,1.4,3.51,5,5,5,5,100.0,100.0
255,37,8.9,1.4,3.51,7,1,7,0,14.285714285714285,0.0
256,29,16.2,0.3,-0.92,5,5,5,5,100.0,100.0
257,18,7.6,2.6,0.32,6,6,6,6,100.0,100.0
258,19,12.4,0.5,1.79,6,5,6,5,83.33333333333334,83.33333333333334
259,22,16.2,0.3,-0.92,10,6,7,2,60.0,28.57142857142857
260,20,15.5,2.8,-4.06,6,6,6,5,100.0,83.33333333333334
261,34,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
262,30,7.6,2.6,0.32,12,8,12,6,66.66666666666666,50.0
263,18,10.8,1.4,1.74,6,6,6,6,100.0,100.0
264,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
265,18,9.4,-0.8,-3.12,6,4,6,3,66.66666666666666,50.0
266,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
267,19,12.7,3.7,-1.7,6,5,6,5,83.33333333333334,83.33333333333334
268,19,10.8,1.4,1.74,6,6,6,6,100.0,100.0
269,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
270,21,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
271,20,7.6,2.6,0.32,5,2,5,1,40.0,20.0
272,20,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
273,19,11.1,0.6,2.02,7,7,8,8,100.0,100.0
274,20,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
275,18,13.9,-0.3,0.79,7,7,8,8,100.0,100.0
276,20,12.7,3.7,-1.7,6,5,6,3,83.33333333333334,50.0
277,29,7.6,2.6,0.32,9,7,7,5,77.77777777777779,71.42857142857143
278,18,12.4,0.5,1.79,7,7,8,8,100.0,100.0
279,20,15.5,2.8,-4.06,7,7,8,7,100.0,87.5
280,22,16.2,0.3,-0.92,5,4,5,4,80.0,80.0
281,47,16.2,0.3,-0.92,6,5,6,6,83.33333333333334,100.0
282,31,8.9,1.4,3.51,5,5,5,5,100.0,100.0
283,21,16.2,0.3,-0.92,6,5,6,6,83.33333333333334,100.0
284,21,7.6,2.6,0.32,6,5,6,6,83.33333333333334,100.0
285,24,7.6,2.6,0.32,6,6,6,6,100.0,100.0
286,18,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
287,32,7.6,2.6,0.32,6,4,6,4,66.66666666666666,66.66666666666666
288,19,10.8,1.4,1.74,6,6,6,6,100.0,100.0
289,24,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
290,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
291,19,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
292,24,12.4,0.5,1.79,6,6,6,5,100.0,83.33333333333334
293,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
294,19,8.9,1.4,3.51,6,5,6,2,83.33333333333334,33.33333333333333
295,19,10.8,1.4,1.74,8,7,8,7,87.5,87.5
296,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
297,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
298,20,12.4,0.5,1.79,7,7,8,8,100.0,100.0
299,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
300,18,11.1,0.6,2.02,6,6,6,6,100.0,100.0
301,21,10.8,1.4,1.74,5,4,5,5,80.0,100.0
302,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
303,18,9.4,-0.8,-3.12,5,2,5,4,40.0,80.0
304,19,9.4,-0.8,-3.12,6,0,6,0,0.0,0.0
305,19,10.8,1.4,1.74,6,4,6,4,66.66666666666666,66.66666666666666
306,18,11.1,0.6,2.02,6,6,6,4,100.0,66.66666666666666
307,34,12.7,3.7,-1.7,5,1,5,0,20.0,0.0
308,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
309,19,12.4,0.5,1.79,6,5,6,2,83.33333333333334,33.33333333333333
310,26,11.1,0.6,2.02,6,6,6,6,100.0,100.0
311,21,7.6,2.6,0.32,6,3,6,3,50.0,50.0
312,18,11.1,0.6,2.02,5,5,5,5,100.0,100.0
313,20,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
314,25,11.1,0.6,2.02,5,2,5,0,40.0,0.0
315,18,11.1,0.6,2.02,5,5,5,5,100.0,100.0
316,18,16.2,0.3,-0.92,7,7,8,8,100.0,100.0
317,19,11.1,0.6,2.02,7,7,8,8,100.0,100.0
318,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
319,20,15.5,2.8,-4.06,7,6,8,6,85.71428571428571,75.0
320,26,8.9,1.4,3.51,3,0,6,0,0.0,0.0
321,19,10.8,1.4,1.74,8,7,8,7,87.5,87.5
322,19,16.2,0.3,-0.92,7,7,8,8,100.0,100.0
323,19,7.6,2.6,0.32,10,5,10,8,50.0,80.0
324,19,7.6,2.6,0.32,5,3,5,3,60.0,60.0
325,18,16.2,0.3,-0.92,6,6,6,3,100.0,50.0
326,19,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
327,18,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
328,18,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
329,18,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
330,18,11.1,0.6,2.02,7,5,7,6,71.42857142857143,85.71428571428571
331,26,16.2,0.3,-0.92,5,0,5,0,0.0,0.0
332,20,12.4,0.5,1.79,6,6,6,6,100.0,100.0
333,19,12.7,3.7,-1.7,6,6,6,6,100.0,100.0
334,18,9.4,-0.8,-3.12,6,6,6,6,100.0,100.0
335,19,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
336,40,12.4,0.5,1.79,7,7,7,7,100.0,100.0
337,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
338,19,13.9,-0.3,0.79,6,5,6,6,83.33333333333334,100.0
339,18,7.6,2.6,0.32,5,4,5,4,80.0,80.0
340,19,9.4,-0.8,-3.12,5,4,5,3,80.0,60.0
341,18,15.5,2.8,-4.06,0,0,0,0,0.0,0.0
342,33,12.4,0.5,1.79,6,6,6,6,100.0,100.0
343,35,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
344,26,9.4,-0.8,-3.12,5,4,5,2,80.0,40.0
345,18,9.4,-0.8,-3.12,6,6,6,6,100.0,100.0
346,36,15.5,2.8,-4.06,16,13,13,9,81.25,69.23076923076923
347,39,10.8,1.4,1.74,5,5,5,5,100.0,100.0
348,44,12.7,3.7,-1.7,6,6,6,6,100.0,100.0
349,20,9.4,-0.8,-3.12,6,5,6,4,83.33333333333334,66.66666666666666
350,24,12.7,3.7,-1.7,6,4,6,4,66.66666666666666,66.66666666666666
351,20,12.4,0.5,1.79,6,6,6,6,100.0,100.0
352,19,9.4,-0.8,-3.12,0,0,0,0,0.0,0.0
353,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
354,22,10.8,1.4,1.74,6,5,6,0,83.33333333333334,0.0
355,18,11.1,0.6,2.02,6,6,6,6,100.0,100.0
356,24,13.9,-0.3,0.79,7,6,8,7,85.71428571428571,87.5
357,33,12.7,3.7,-1.7,5,0,5,0,0.0,0.0
358,30,11.1,0.6,2.02,6,0,6,0,0.0,0.0
359,26,8.9,1.4,3.51,6,0,6,0,0.0,0.0
360,18,10.8,1.4,1.74,6,6,6,6,100.0,100.0
361,19,10.8,1.4,1.74,6,3,6,2,50.0,33.33333333333333
362,20,16.2,0.3,-0.92,5,3,5,4,60.0,80.0
363,22,8.9,1.4,3.51,11,8,9,7,72.72727272727273,77.77777777777779
364,19,7.6,2.6,0.32,7,5,7,5,71.42857142857143,71.42857142857143
365,21,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
366,21,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
367,19,7.6,2.6,0.32,5,1,5,5,20.0,100.0
368,19,8.9,1.4,3.51,7,7,7,6,100.0,85.71428571428571
369,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
370,50,16.2,0.3,-0.92,11,11,7,7,100.0,100.0
371,31,13.9,-0.3,0.79,5,4,5,4,80.0,80.0
372,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
373,35,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
374,31,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
375,42,11.1,0.6,2.02,11,10,11,10,90.9090909090909,90.9090909090909
376,34,9.4,-0.8,-3.12,5,0,5,0,0.0,0.0
377,18,12.4,0.5,1.79,7,7,8,8,100.0,100.0
378,18,8.9,1.4,3.51,7,7,7,6,100.0,85.71428571428571
379,21,16.2,0.3,-0.92,6,5,6,2,83.33333333333334,33.33333333333333
380,26,16.2,0.3,-0.92,7,5,8,6,71.42857142857143,75.0
381,20,13.9,-0.3,0.79,7,6,8,8,85.71428571428571,100.0
382,19,7.6,2.6,0.32,6,3,6,3,50.0,50.0
383,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
384,20,8.9,1.4,3.51,11,9,9,8,81.81818181818183,88.88888888888889
385,19,7.6,2.6,0.32,6,6,6,6,100.0,100.0
386,18,7.6,2.6,0.32,6,6,6,6,100.0,100.0
387,28,10.8,1.4,1.74,14,11,11,10,78.57142857142857,90.9090909090909
388,22,15.5,2.8,-4.06,6,5,6,5,83.33333333333334,83.33333333333334
389,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
390,21,12.4,0.5,1.79,6,4,6,1,66.66666666666666,16.666666666666664
391,26,16.2,0.3,-0.92,7,5,8,5,71.42857142857143,62.5
392,18,7.6,2.6,0.32,6,5,6,5,83.33333333333334,83.33333333333334
393,20,7.6,2.6,0.32,5,2,5,2,40.0,40.0
394,18,11.1,0.6,2.02,6,6,6,6,100.0,100.0
395,19,10.8,1.4,1.74,8,7,8,7,87.5,87.5
396,20,12.4,0.5,1.79,11,11,11,11,100.0,100.0
397,22,13.9,-0.3,0.79,6,6,6,3,100.0,50.0
398,18,10.8,1.4,1.74,6,5,6,4,83.33333333333334,66.66666666666666
399,19,16.2,0.3,-0.92,5,3,5,0,60.0,0.0
