,Marital status,attendance,Esn,Debtor,fees,Gender,scholarship,Target,Sector_Agronomy and Veterinary Science,Sector_Business and Communication,Sector_Education,Sector_Renewable Energies,Sector_Social Services and Health,Sector_Technology and Design,Sector_Tourism,Age at enrollment,Unemployment rate,Inflation rate,GDP,Enrolled1,Approved1,Enrolled2,Approved2,Tasa_1st,Tasa_2nd
83,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,18,12.7,3.7,-1.7,5,5,5,3,100.0,60.0
84,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,33,9.4,-0.8,-3.12,6,6,6,5,100.0,83.33333333333334
85,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,22,10.8,1.4,1.74,8,7,8,7,87.5,87.5
86,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,25,9.4,-0.8,-3.12,5,4,5,5,80.0,100.0
87,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,20,7.6,2.6,0.32,6,6,6,5,100.0,83.33333333333334
88,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,23,11.1,0.6,2.02,5,4,5,5,80.0,100.0
89,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,18,15.5,2.8,-4.06,5,2,5,0,40.0,0.0
90,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,24,13.9,-0.3,0.79,7,0,7,0,0.0,0.0
91,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,21,8.9,1.4,3.51,6,6,6,6,100.0,100.0
92,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,26,8.9,1.4,3.51,6,2,6,0,33.33333333333333,0.0
93,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,39,7.6,2.6,0.32,6,3,6,0,50.0,0.0
94,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,44,12.7,3.7,-1.7,8,8,6,6,100.0,100.0
95,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,19,13.9,-0.3,0.79,5,5,5,3,100.0,60.0
96,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
97,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,12.4,0.5,1.79,7,7,8,8,100.0,100.0
98,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,19,12.7,3.7,-1.7,5,5,5,5,100.0,100.0
99,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19,13.9,-0.3,0.79,7,4,7,0,57.14285714285714,0.0
100,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,21,8.9,1.4,3.51,10,8,9,5,80.0,55.55555555555556
101,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,20,16.2,0.3,-0.92,0,0,0,0,0.0,0.0
102,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36,9.4,-0.8,-3.12,6,0,6,0,0.0,0.0
103,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,43,15.5,2.8,-4.06,18,18,13,13,100.0,100.0
104,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19,11.1,0.6,2.02,6,0,6,0,0.0,0.0
105,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,20,11.1,0.6,2.02,10,10,11,11,100.0,100.0
106,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19,16.2,0.3,-0.92,6,0,6,0,0.0,0.0
107,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,20,15.5,2.8,-4.06,6,4,6,4,66.66666666666666,66.66666666666666
108,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20,12.4,0.5,1.79,7,6,7,5,85.71428571428571,71.42857142857143
109,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,20,16.2,0.3,-0.92,7,6,7,3,85.71428571428571,42.857142857142854
110,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
111,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,18,8.9,1.4,3.51,5,3,5,3,60.0,60.0
112,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,10.8,1.4,1.74,5,5,5,5,100.0,100.0
113,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18,10.8,1.4,1.74,6,6,6,6,100.0,100.0
114,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
115,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,20,13.9,-0.3,0.79,7,6,7,7,85.71428571428571,100.0
116,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,20,7.6,2.6,0.32,6,2,6,4,33.33333333333333,66.66666666666666
117,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,20,12.4,0.5,1.79,5,3,5,3,60.0,60.0
118,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,18,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
119,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18,11.1,0.6,2.02,5,5,5,5,100.0,100.0
120,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,21,9.4,-0.8,-3.12,6,3,6,2,50.0,33.33333333333333
121,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,19,16.2,0.3,-0.92,5,5,5,4,100.0,80.0
122,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
123,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,19,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
124,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
125,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19,13.9,-0.3,0.79,7,5,7,0,71.42857142857143,0.0
126,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,20,12.4,0.5,1.79,6,6,6,5,100.0,83.33333333333334
127,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,18,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
128,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
129,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,12.4,0.5,1.79,7,7,8,8,100.0,100.0
130,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,18,13.9,-0.3,0.79,7,7,8,7,100.0,87.5
131,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,18,7.6,2.6,0.32,6,6,6,6,100.0,100.0
132,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,19,8.9,1.4,3.51,5,5,5,5,100.0,100.0
133,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19,13.9,-0.3,0.79,7,5,7,0,71.42857142857143,0.0
134,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,20,7.6,2.6,0.32,9,9,7,7,100.0,100.0
135,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,19,12.4,0.5,1.79,6,5,6,4,83.33333333333334,66.66666666666666
136,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,20,7.6,2.6,0.32,5,4,5,4,80.0,80.0
137,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
138,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,20,11.1,0.6,2.02,7,5,8,7,71.42857142857143,87.5
139,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,13.9,-0.3,0.79,7,7,8,8,100.0,100.0
140,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
141,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,19,12.4,0.5,1.79,6,6,6,5,100.0,83.33333333333334
142,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,22,8.9,1.4,3.51,5,0,5,0,0.0,0.0
143,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19,12.4,0.5,1.79,6,6,6,6,100.0,100.0
144,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
145,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,19,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
146,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,19,7.6,2.6,0.32,5,0,5,0,0.0,0.0
147,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,20,7.6,2.6,0.32,6,5,6,3,83.33333333333334,50.0
148,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
149,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,20,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
150,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,18,9.4,-0.8,-3.12,0,0,0,0,0.0,0.0
151,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
152,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,18,9.4,-0.8,-3.12,6,3,6,5,50.0,83.33333333333334
153,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,18,7.6,2.6,0.32,6,6,6,5,100.0,83.33333333333334
154,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21,9.4,-0.8,-3.12,6,3,6,3,50.0,50.0
155,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19,7.6,2.6,0.32,6,6,6,4,100.0,66.66666666666666
156,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,18,12.4,0.5,1.79,5,5,5,5,100.0,100.0
157,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,6,6,6,6,100.0,100.0
158,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,20,9.4,-0.8,-3.12,6,4,6,6,66.66666666666666,100.0
159,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,24,11.1,0.6,2.02,6,5,6,5,83.33333333333334,83.33333333333334
160,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,19,10.8,1.4,1.74,6,6,6,6,100.0,100.0
161,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,15.5,2.8,-4.06,7,7,8,7,100.0,87.5
162,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
163,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21,10.8,1.4,1.74,6,4,6,3,66.66666666666666,50.0
164,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
165,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
166,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,47,8.9,1.4,3.51,1,0,6,0,0.0,0.0
167,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,13.9,-0.3,0.79,6,5,6,4,83.33333333333334,66.66666666666666
168,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,29,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
169,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,21,16.2,0.3,-0.92,6,3,6,2,50.0,33.33333333333333
170,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,28,12.7,3.7,-1.7,5,4,5,4,80.0,80.0
171,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,20,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
172,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
173,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,26,9.4,-0.8,-3.12,6,3,6,5,50.0,83.33333333333334
174,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,20,11.1,0.6,2.02,6,4,6,6,66.66666666666666,100.0
175,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,18,7.6,2.6,0.32,5,3,5,4,60.0,80.0
176,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,27,7.6,2.6,0.32,6,5,6,5,83.33333333333334,83.33333333333334
177,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20,7.6,2.6,0.32,7,4,7,4,57.14285714285714,57.14285714285714
178,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
179,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,33,16.2,0.3,-0.92,7,6,8,6,85.71428571428571,75.0
180,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,35,12.4,0.5,1.79,21,21,19,19,100.0,100.0
181,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,26,9.4,-0.8,-3.12,6,6,6,6,100.0,100.0
182,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,27,11.1,0.6,2.02,6,5,6,0,83.33333333333334,0.0
183,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,15.5,2.8,-4.06,6,6,6,0,100.0,0.0
184,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,20,11.1,0.6,2.02,6,0,6,0,0.0,0.0
185,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,20,10.8,1.4,1.74,5,3,5,3,60.0,60.0
186,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,21,9.4,-0.8,-3.12,10,8,6,4,80.0,66.66666666666666
187,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
188,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,24,8.9,1.4,3.51,6,2,6,0,33.33333333333333,0.0
189,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,20,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
190,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
191,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,23,9.4,-0.8,-3.12,6,2,5,1,33.33333333333333,20.0
192,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,24,7.6,2.6,0.32,5,0,5,0,0.0,0.0
193,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21,12.4,0.5,1.79,6,0,6,0,0.0,0.0
194,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
195,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,27,8.9,1.4,3.51,5,0,5,0,0.0,0.0
196,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
197,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,35,13.9,-0.3,0.79,5,0,5,0,0.0,0.0
198,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,18,11.1,0.6,2.02,7,7,7,7,100.0,100.0
199,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,35,11.1,0.6,2.02,3,3,3,3,100.0,100.0
200,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,10.8,1.4,1.74,5,4,5,4,80.0,80.0
201,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,20,7.6,2.6,0.32,6,6,6,6,100.0,100.0
202,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,10.8,1.4,1.74,8,7,8,7,87.5,87.5
203,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
204,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,16.2,0.3,-0.92,6,5,6,4,83.33333333333334,66.66666666666666
205,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,7.6,2.6,0.32,6,4,6,4,66.66666666666666,66.66666666666666
206,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
207,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,18,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
208,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
209,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,36,16.2,0.3,-0.92,6,6,6,5,100.0,83.33333333333334
210,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
