,Gender,scholarship,Target,Age at enrollment,Tasa_1st,Tasa_2nd,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Course_11,Course_12,Course_13,Course_14,Course_15,Course_16,Course_17
74,1,0,1,-0.6977406040514301,0.7935095109170607,-0.4065017886231024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,1,0,0,-0.6977406040514301,-0.264382808762432,-0.15673816042035812,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,1,1,0,-0.3144478690776571,-0.08806742214918344,-1.2390472159655834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,1,1,1,-0.18668362408639944,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,1,0,1,1.2187230708174348,0.7935095109170607,0.842316352390619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,0,-0.44221211406891475,0.35272104438393903,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,1,0,0,1.4742515607999502,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1,0,0,0.0688448658961159,-0.5288558886823052,0.4260436387193787,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,1,1.2187230708174348,0.7935095109170607,0.4260436387193787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1,1,-0.18668362408639944,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,0,1,1,0.19660911088737357,0.2645633510773144,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,1,0,1,-0.44221211406891475,0.7935095109170607,0.4260436387193787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,0,0.0688448658961159,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,0,0,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,0,0,0,0.32437335587863125,-0.9696443552154272,-1.6553199296368237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,0,0,0,1.9853085407649809,-0.5288558886823052,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,0,0,1,2.6241297657212694,0.7935095109170607,0.842316352390619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,0,0,0,-0.5699763590601724,-0.3399465458823958,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,0,0,0,-0.3144478690776571,0.2645633510773144,-0.26774421739935556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,0,0,1,-0.44221211406891475,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,1.602015805791208,-1.851221288281671,-1.6553199296368237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,1,2.4963655207300115,0.7935095109170607,0.842316352390619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,0,0,0,-0.44221211406891475,-0.08806742214918344,0.009770925048137806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,-0.44221211406891475,0.4156908253172418,0.12870598609706393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,0,0,0,-0.6977406040514301,0.4156908253172418,0.48551116924384125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,0,0,0,-0.3144478690776571,-0.5288558886823052,-0.8227745022943429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,0,0,1,-0.5699763590601724,0.7935095109170607,0.3427890959851304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,0,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,-0.5699763590601724,0.03787213971742315,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,0,0,1,-0.44221211406891475,0.7935095109170607,0.4260436387193787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,0,1,0,-0.6977406040514301,0.7935095109170607,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,0,0,0,-0.5699763590601724,0.03787213971742315,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,0,1,0,-0.5699763590601724,0.35272104438393903,0.009770925048137806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,0,0,1,-0.44221211406891475,0.2645633510773144,0.3427890959851304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,0,0,1,-0.5699763590601724,0.4156908253172418,0.48551116924384125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,0,1,1,-0.5699763590601724,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,0,1,1,-0.5699763590601724,0.35272104438393903,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,0,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,0,0,-0.44221211406891475,0.35272104438393903,-0.4065017886231024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,0,1,1,-0.44221211406891475,0.4156908253172418,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,0,0,1,-0.6977406040514301,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,0,0,0,-0.3144478690776571,-0.5288558886823052,-0.4065017886231024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,0,0,0,-0.5699763590601724,0.7935095109170607,0.009770925048137806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
157,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,0,0,1,-0.44221211406891475,-0.08806742214918344,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,0,1,1,0.0688448658961159,0.35272104438393903,0.4260436387193787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,0,1,1,-0.6977406040514301,0.7935095109170607,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
163,0,0,0,-0.3144478690776571,-0.08806742214918344,-0.4065017886231024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
167,0,0,1,-0.5699763590601724,0.35272104438393903,0.009770925048137806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,0,0,1,0.7076660908524043,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,0,0,0,-0.3144478690776571,-0.5288558886823052,-0.8227745022943429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
172,0,0,1,-0.5699763590601724,0.4156908253172418,0.48551116924384125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,0,0,1,0.32437335587863125,-0.5288558886823052,0.4260436387193787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,-0.44221211406891475,-0.08806742214918344,0.842316352390619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,0,0,1,0.4521376008698889,0.35272104438393903,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,0,0,0,-0.44221211406891475,-0.3399465458823958,-0.22809919704971374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,0,0,0,-0.6977406040514301,0.35272104438393903,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,0,0,0,1.2187230708174348,0.4156908253172418,0.21790728188375827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,0,0,1,1.4742515607999502,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,0,0,0,0.4521376008698889,0.35272104438393903,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,0,0,0,-0.5699763590601724,0.7935095109170607,-1.6553199296368237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,-0.44221211406891475,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,0,0,0,-0.44221211406891475,-0.264382808762432,-0.15673816042035812,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
187,0,1,1,-0.6977406040514301,0.4156908253172418,0.48551116924384125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,0,0,0,0.0688448658961159,-0.9696443552154272,-1.6553199296368237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,0,1,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,0,0,0,0.0688448658961159,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,0,0,0,-0.3144478690776571,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,0,0,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0,0,0,0.4521376008698889,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0,0,0,1.4742515607999502,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,0,0,1,-0.5699763590601724,0.2645633510773144,0.3427890959851304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,0,0,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,0,0,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,0,1,1,-0.6977406040514301,0.35272104438393903,0.009770925048137806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,0,0,1,-0.6977406040514301,-0.08806742214918344,0.009770925048137806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,0,0,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,0,0,1,-0.5699763590601724,0.7935095109170607,0.4260436387193787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,0,1,0,1.602015805791208,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,0,1,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211,0,1,1,-0.6977406040514301,0.4156908253172418,0.48551116924384125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212,0,1,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
213,0,1,0,0.32437335587863125,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,0,0,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
217,0,0,0,0.0688448658961159,-1.4104328217485491,-1.6553199296368237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,1,0,0.4521376008698889,-1.4104328217485491,-1.6553199296368237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,-0.3144478690776571,-1.851221288281671,-0.6562654168258467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,0,1,1,-0.6977406040514301,0.2645633510773144,-0.15673816042035812,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,0,0,0,-0.6977406040514301,-0.08806742214918344,-0.8227745022943429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,0,1,1,-0.5699763590601724,0.03787213971742315,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
224,0,1,1,-0.5699763590601724,0.4156908253172418,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
225,0,0,1,1.2187230708174348,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226,0,0,1,2.751894010712527,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,0,1,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,0,0,0,0.5799018458611466,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,0,1,1,-0.5699763590601724,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
230,0,0,1,-0.6977406040514301,0.7935095109170607,-0.4065017886231024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,0,0,0,1.8575442957737232,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,0,1,1,-0.3144478690776571,0.35272104438393903,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,0,0,0,-0.3144478690776571,-0.264382808762432,-1.1557926732313353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
235,0,1,1,-0.18668362408639944,0.35272104438393903,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,0,1,1,-0.6977406040514301,0.35272104438393903,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
